%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%---------------------------------------------------------------------%
%                                       #      ###                   -%
%  #####      #    #####   ######      ##     #   #   #    #         -%
%  #    #     #    #    #  #          # #    # #   #  #   #          -%
%  #    #     #    #    #  #####        #    #  #  #  ####           -%
%  #####      #    #####   #            #    #   # #  #  #           -%
%  #          #    #       #            #     #   #   #   #          -%
%  #          #    #       ######     #####    ###    #    #         -%
%                                                                    -%
%---------------------------------------------------------------------%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                      2023 - 2024                          %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  Contact: sergio.hoyas@mot.upv.es                         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                     <<< CAUTION >>>                       %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  All rights are reserved by the authors.                  %%%%%%
%%%%%%  No part of the data described herein may be represented  %%%%%%
%%%%%%  without reference. The data base may be used without     %%%%%%
%%%%%%  notification to the author's laboratory, asuming that    %%%%%%
%%%%%%  it has been properly cited.                              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                                   %%
%%  NOMENCLATURE:                                                    %%
%%   z = streamwise coordinate                                       %%
%%   r = wall-normal coordinate                                      %%
%%   t = Azimuthal coordinate                                        %%
%%   R = Radius                                                      %%
%%                                                                   %%
%%                                                                   %%
%%  BOX SIZE in R (z,r,t): 10pi|1|2pi                                %%
%%  FLOW CONDITIONS:  Retau  = 181 ,%%
%%                     utau  = 0.034200                              %%
%%%%
%%                                                                   %%
%%    Data file created: FEB 2023                                    %%
%%                                                                   %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%        (1-r)        ((1-r)^+)      (Uz^+)      (ur_{rms}^+)  (uz_{rms}^+)   (ut_{rms}^+)     (uzur^+) 
    0.45510952    82.52500959    17.19658367     0.82081627     1.38084239     0.94463976     0.50911122 
    0.46282139    83.92340340    17.24594809     0.81747179     1.36896001     0.93916367     0.50185012 
    0.47054326    85.32360898    17.29477797     0.81407681     1.35730011     0.93368788     0.49457065 
    0.47827330    86.72529750    17.34307295     0.81063825     1.34584851     0.92821112     0.48727535 
    0.48600970    88.12813978    17.39083219     0.80716307     1.33458848     0.92273298     0.47996656 
    0.49375066    89.53180637    17.43805457     0.80365812     1.32350247     0.91725316     0.47264665 
    0.50149433    90.93596762    17.48473850     0.80013009     1.31257384     0.91177051     0.46531813 
    0.50923892    92.34029377    17.53088158     0.79658527     1.30178818     0.90628267     0.45798397 
    0.51698260    93.74445502    17.57647981     0.79302953     1.29113417     0.90078668     0.45064763 
    0.52472355    95.14812161    17.62152706     0.78946813     1.28060377     0.89528000     0.44331281 
    0.53245996    96.55096389    17.66601493     0.78590572     1.27019168     0.88976086     0.43598301 
    0.54019000    97.95265241    17.70993334     0.78234630     1.25989447     0.88422825     0.42866116 
    0.54791186    99.35285799    17.75327139     0.77879330     1.24970978     0.87868221     0.42134934 
    0.55562373   100.75125180    17.79601851     0.77524974     1.23963556     0.87312439     0.41404895 
    0.56332380   102.14750542    17.83816523     0.77171835     1.22966968     0.86755783     0.40676080 
    0.57101026   103.54129096    17.87970361     0.76820171     1.21980981     0.86198591     0.39948554 
    0.57868131   104.93228108    17.92062716     0.76470226     1.21005360     0.85641095     0.39222402 
    0.58633513   106.32014913    17.96093014     0.76122240     1.20039895     0.85083352     0.38497773 
    0.59396994   107.70456915    18.00060654     0.75776453     1.19084407     0.84525285     0.37774890 
    0.60158394   109.08521604    18.03964919     0.75433120     1.18138694     0.83966789     0.37054029 
    0.60917535   110.46176554    18.07804935     0.75092515     1.17202479     0.83407883     0.36335491 
    0.61674237   111.83389439    18.11579675     0.74754940     1.16275378     0.82848840     0.35619565 
    0.62428324   113.20128034    18.15288005     0.74420722     1.15356888     0.82290263     0.34906512 
    0.63179619   114.56360226    18.18928756     0.74090200     1.14446448     0.81733070     0.34196552 
    0.63927944   115.92054022    18.22500776     0.73763711     1.13543573     0.81178417     0.33489881 
    0.64673124   117.27177556    18.26002972     0.73441577     1.12647975     0.80627610     0.32786680 
    0.65414984   118.61699093    18.29434328     0.73124093     1.11759629     0.80082058     0.32087112 
    0.66153350   119.95587041    18.32793939     0.72811514     1.10878783     0.79543225     0.31391312 
    0.66888049   121.28809958    18.36081029     0.72504048     1.10005913     0.79012495     0.30699411 
    0.67618908   122.61336558    18.39294932     0.72201867     1.09141623     0.78491000     0.30011563 
    0.68345755   123.93135715    18.42435045     0.71905118     1.08286506     0.77979489     0.29327953 
    0.69068419   125.24176478    18.45500801     0.71613947     1.07441032     0.77478331     0.28648774 
    0.69786732   126.54428073    18.48491674     0.71328517     1.06605517     0.76987615     0.27974192 
    0.70500523   127.83859910    18.51407230     0.71049005     1.05780150     0.76507276     0.27304336 
    0.71209627   129.12441593    18.54247169     0.70775603     1.04965050     0.76037173     0.26639309 
    0.71913875   130.40142925    18.57011337     0.70508503     1.04160315     0.75577133     0.25979221 
    0.72613103   131.66933915    18.59699702     0.70247892     1.03366033     0.75126994     0.25324205 
    0.73307146   132.92784788    18.62312311     0.69993942     1.02582287     0.74686638     0.24674425 
    0.73995842   134.17665988    18.64849263     0.69746806     1.01809169     0.74256020     0.24030062 
    0.74679028   135.41548186    18.67310690     0.69506608     1.01046786     0.73835186     0.23391301 
    0.75356545   136.64402290    18.69696763     0.69273442     1.00295260     0.73424276     0.22758315 
    0.76028233   137.86199447    18.72007704     0.69047369     0.99554725     0.73023501     0.22131262 
    0.76693934   139.06911055    18.74243804     0.68828417     0.98825342     0.72633103     0.21510285 
    0.77353492   140.26508765    18.76405430     0.68616590     0.98107333     0.72253292     0.20895515 
    0.78006753   141.44964488    18.78493032     0.68411867     0.97401043     0.71884181     0.20287079 
    0.78653562   142.62250408    18.80507139     0.68214217     0.96706983     0.71525762     0.19685103 
    0.79293768   143.78338978    18.82448350     0.68023598     0.96025834     0.71177908     0.19089718 
    0.79927221   144.93202937    18.84317329     0.67839965     0.95358391     0.70840412     0.18501059 
    0.80553771   146.06815310    18.86114792     0.67663267     0.94705493     0.70513036     0.17919265 
    0.81173272   147.19149414    18.87841506     0.67493447     0.94067976     0.70195557     0.17344479 
    0.81785578   148.30178868    18.89498280     0.67330442     0.93446651     0.69887806     0.16776841 
    0.82390545   149.39877598    18.91085967     0.67174178     0.92842289     0.69589690     0.16216490 
    0.82988032   150.48219841    18.92605471     0.67024572     0.92255617     0.69301211     0.15663547 
    0.83577897   151.55180153    18.94057762     0.66881532     0.91687294     0.69022463     0.15118117 
    0.84160003   152.60733416    18.95443888     0.66744959     0.91137895     0.68753615     0.14580285 
    0.84734213   153.64854840    18.96764991     0.66614748     0.90607899     0.68494884     0.14050121 
    0.85300391   154.67519974    18.98022306     0.66490791     0.90097687     0.68246482     0.13527688 
    0.85858406   155.68704705    18.99217162     0.66372974     0.89607558     0.68008576     0.13013052 
    0.86408125   156.68385273    19.00350962     0.66261183     0.89137730     0.67781260     0.12506286 
    0.86949420   157.66538266    19.01425176     0.66155300     0.88688358     0.67564541     0.12007468 
    0.87482163   158.63140634    19.02441324     0.66055204     0.88259535     0.67358353     0.11516681 
    0.88006230   159.58169691    19.03400975     0.65960773     0.87851296     0.67162575     0.11034006 
    0.88521497   160.51603119    19.04305738     0.65871874     0.87463617     0.66977055     0.10559528 
    0.89027844   161.43418976    19.05157261     0.65788371     0.87096409     0.66801618     0.10093329 
    0.89525151   162.33595698    19.05957220     0.65710117     0.86749509     0.66636086     0.09635496 
    0.90013302   163.22112110    19.06707318     0.65636954     0.86422673     0.66480275     0.09186119 
    0.90492182   164.08947422    19.07409272     0.65568717     0.86115573     0.66333998     0.08745296 
    0.90961679   164.94081242    19.08064805     0.65505231     0.85827803     0.66197066     0.08313129 
    0.91421682   165.77493576    19.08675639     0.65446315     0.85558883     0.66069281     0.07889728 
    0.91872083   166.59164836    19.09243489     0.65391782     0.85308273     0.65950432     0.07475200 
    0.92312777   167.39075840    19.09770061     0.65341438     0.85075379     0.65840287     0.07069653 
    0.92743660   168.17207824    19.10257050     0.65295090     0.84859568     0.65738588     0.06673191 
    0.93164630   168.93542436    19.10706144     0.65252542     0.84660175     0.65645045     0.06285911 
    0.93575590   169.68061751    19.11119022     0.65213596     0.84476510     0.65559337     0.05907901 
    0.93976442   170.40748268    19.11497358     0.65178057     0.84307873     0.65481113     0.05539247 
    0.94367093   171.11584917    19.11842820     0.65145732     0.84153553     0.65409997     0.05180024 
    0.94747450   171.80555062    19.12157070     0.65116433     0.84012840     0.65345596     0.04830306 
    0.95117424   172.47642505    19.12441763     0.65089975     0.83885025     0.65287510     0.04490162 
    0.95476929   173.12831492    19.12698540     0.65066178     0.83769406     0.65235335     0.04159660 
    0.95825879   173.76106713    19.12929029     0.65044871     0.83665294     0.65188676     0.03838867 
    0.96164194   174.37453308    19.13134838     0.65025885     0.83572010     0.65147148     0.03527847 
    0.96491793   174.96856870    19.13317551     0.65009060     0.83488891     0.65110380     0.03226667 
    0.96808600   175.54303448    19.13478726     0.64994241     0.83415294     0.65078018     0.02935393 
    0.97114540   176.09779552    19.13619888     0.64981277     0.83350587     0.65049722     0.02654091 
    0.97409541   176.63272153    19.13742524     0.64970025     0.83294158     0.65025172     0.02382826 
    0.97693535   177.14768688    19.13848086     0.64960347     0.83245407     0.65004057     0.02121662 
    0.97966454   177.64257064    19.13937981     0.64952110     0.83203747     0.64986087     0.01870663 
    0.98228234   178.11725658    19.14013574     0.64945186     0.83168603     0.64970980     0.01629891 
    0.98478814   178.57163323    19.14076183     0.64939454     0.83139413     0.64958470     0.01399406 
    0.98718135   179.00559387    19.14127078     0.64934795     0.83115626     0.64948300     0.01179265 
    0.98946141   179.41903660    19.14167479     0.64931097     0.83096705     0.64940227     0.00969522 
    0.99162777   179.81186432    19.14198556     0.64928253     0.83082125     0.64934016     0.00770230 
    0.99367995   180.18398478    19.14221427     0.64926161     0.83071382     0.64929445     0.00581439 
    0.99561744   180.53531057    19.14237155     0.64924721     0.83063987     0.64926301     0.00403193 
    0.99743980   180.86575920    19.14246752     0.64923843     0.83059471     0.64924382     0.00235538 
    0.99914660   181.17525307    19.14251171     0.64923439     0.83057392     0.64923499     0.00078513 
