%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%---------------------------------------------------------------------%
%                                       #      ###                   -%
%  #####      #    #####   ######      ##     #   #   #    #         -%
%  #    #     #    #    #  #          # #    # #   #  #   #          -%
%  #    #     #    #    #  #####        #    #  #  #  ####           -%
%  #####      #    #####   #            #    #   # #  #  #           -%
%  #          #    #       #            #     #   #   #   #          -%
%  #          #    #       ######     #####    ###    #    #         -%
%                                                                    -%
%---------------------------------------------------------------------%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                      2023 - 2024                          %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  Contact: sergio.hoyas@mot.upv.es                         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                     <<< CAUTION >>>                       %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  All rights are reserved by the authors.                  %%%%%%
%%%%%%  No part of the data described herein may be represented  %%%%%%
%%%%%%  without reference. The data base may be used without     %%%%%%
%%%%%%  notification to the author's laboratory, asuming that    %%%%%%
%%%%%%  it has been properly cited.                              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                                   %%
%%  NOMENCLATURE:                                                    %%
%%   z = streamwise coordinate                                       %%
%%   r = wall-normal coordinate                                      %%
%%   t = Azimuthal coordinate                                        %%
%%   R = Radius                                                      %%
%%                                                                   %%
%%                                                                   %%
%%  BOX SIZE in R (z,r,t): 10pi|1|2pi                                %%
%%  FLOW CONDITIONS:  Retau  = 181 ,%%
%%                     utau  = 0.034200                              %%
%%%%
%%                                                                   %%
%%    Data file created: FEB 2023                                    %%
%%                                                                   %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%        (1-r)        ((1-r)^+)      (Uz^+)      (ur_{rms}^+)  (uz_{rms}^+)   (ut_{rms}^+)     (uzur^+)    
    0.19817897    35.93579201    14.86338894     0.79687607     2.08620578     1.06626820     0.71659757 
    0.20130690    36.50297977    14.91126194     0.80127681     2.07088145     1.06645172     0.71559089 
    0.20445316    37.07349083    14.95823052     0.80549997     2.05572254     1.06656000     0.71446732 
    0.20761755    37.64729052    15.00433299     0.80954818     2.04073145     1.06659195     0.71323154 
    0.21079989    38.22434397    15.04960625     0.81342414     2.02590983     1.06654673     0.71188806 
    0.21399998    38.80461612    15.09408584     0.81713067     2.01125879     1.06642381     0.71044125 
    0.21721762    39.38807170    15.13780592     0.82067065     1.99677898     1.06622318     0.70889531 
    0.22045263    39.97467526    15.18079932     0.82404700     1.98247074     1.06594536     0.70725432 
    0.22370480    40.56439115    15.22309754     0.82726266     1.96833419     1.06559146     0.70552222 
    0.22697393    41.15718352    15.26473076     0.83032057     1.95436927     1.06516310     0.70370283 
    0.23025984    41.75301637    15.30572787     0.83322366     1.94057573     1.06466234     0.70179986 
    0.23356231    42.35185347    15.34611650     0.83597484     1.92695315     1.06409155     0.69981688 
    0.23688115    42.95365844    15.38592298     0.83857699     1.91350096     1.06345332     0.69775740 
    0.24021615    43.55839470    15.42517241     0.84103294     1.90021847     1.06275028     0.69562477 
    0.24356712    44.16602552    15.46388861     0.84334549     1.88710497     1.06198503     0.69342231 
    0.24693384    44.77651395    15.50209420     0.84551738     1.87415986     1.06115996     0.69115322 
    0.25031612    45.38982290    15.53981051     0.84755132     1.86138273     1.06027720     0.68882063 
    0.25371375    46.00591510    15.57705771     0.84945000     1.84877347     1.05933857     0.68642754 
    0.25712653    46.62475312    15.61385475     0.85121604     1.83633233     1.05834551     0.68397687 
    0.26055423    47.24629934    15.65021945     0.85285208     1.82405988     1.05729920     0.68147139 
    0.26399667    47.87051599    15.68616851     0.85436071     1.81195704     1.05620049     0.67891373 
    0.26745362    48.49736514    15.72171762     0.85574451     1.80002500     1.05504994     0.67630635 
    0.27092488    49.12680870    15.75688147     0.85700607     1.78826504     1.05384783     0.67365156 
    0.27441024    49.75880841    15.79167389     0.85814795     1.77667842     1.05259419     0.67095147 
    0.27790948    50.39332588    15.82610789     0.85917271     1.76526623     1.05128882     0.66820799 
    0.28142239    51.03032253    15.86019580     0.86008291     1.75402922     1.04993141     0.66542287 
    0.28494877    51.66975966    15.89394928     0.86088107     1.74296783     1.04852158     0.66259768 
    0.28848838    52.31159841    15.92737948     0.86156976     1.73208203     1.04705904     0.65973388 
    0.29204103    52.95579977    15.96049702     0.86215150     1.72137138     1.04554363     0.65683282 
    0.29560649    53.60232461    15.99331208     0.86262887     1.71083490     1.04397530     0.65389577 
    0.29918455    54.25113362    16.02583440     0.86300446     1.70047109     1.04235418     0.65092393 
    0.30277498    54.90218738    16.05807332     0.86328091     1.69027787     1.04068053     0.64791846 
    0.30637758    55.55544634    16.09003782     0.86346088     1.68025261     1.03895477     0.64488047 
    0.30999212    56.21087078    16.12173646     0.86354711     1.67039224     1.03717737     0.64181105 
    0.31361838    56.86842087    16.15317746     0.86354238     1.66069336     1.03534888     0.63871128 
    0.31725614    57.52805667    16.18436865     0.86344952     1.65115241     1.03346982     0.63558221 
    0.32090519    58.18973808    16.21531748     0.86327142     1.64176574     1.03154062     0.63242490 
    0.32456529    58.85342489    16.24603102     0.86301101     1.63252970     1.02956166     0.62924040 
    0.32823624    59.51907678    16.27651595     0.86267125     1.62344055     1.02753325     0.62602971 
    0.33191779    60.18665328    16.30677856     0.86225516     1.61449438     1.02545568     0.62279380 
    0.33560974    60.85611384    16.33682482     0.86176576     1.60568701     1.02332931     0.61953359 
    0.33931185    61.52741776    16.36666040     0.86120607     1.59701396     1.02115475     0.61624988 
    0.34302390    62.20052425    16.39629070     0.86057911     1.58847050     1.01893294     0.61294337 
    0.34674567    62.87539242    16.42572095     0.85988782     1.58005176     1.01666529     0.60961467 
    0.35047693    63.55198124    16.45495626     0.85913504     1.57175285     1.01435373     0.60626431 
    0.35421745    64.23024960    16.48400163     0.85832352     1.56356906     1.01200077     0.60289279 
    0.35796700    64.91015629    16.51286196     0.85745587     1.55549596     1.00960944     0.59950063 
    0.36172536    65.59165998    16.54154200     0.85653452     1.54752948     1.00718324     0.59608841 
    0.36549230    66.27471926    16.57004632     0.85556174     1.53966594     1.00472606     0.59265683 
    0.36926759    66.95929262    16.59837920     0.85453963     1.53190215     1.00224204     0.58920668 
    0.37305100    67.64533846    16.62654457     0.85347013     1.52423535     0.99973553     0.58573884 
    0.37684230    68.33281509    16.65454594     0.85235504     1.51666322     0.99721082     0.58225429 
    0.38064127    69.02168073    16.68238637     0.85119605     1.50918372     0.99467210     0.57875401 
    0.38444766    69.71189351    16.71006843     0.84999477     1.50179483     0.99212321     0.57523899 
    0.38826124    70.40341151    16.73759427     0.84875277     1.49449437     0.98956750     0.57171016 
    0.39208180    71.09619268    16.76496561     0.84747162     1.48727983     0.98700774     0.56816838 
    0.39590909    71.79019494    16.79218385     0.84615288     1.48014833     0.98444604     0.56461438 
    0.39974288    72.48537610    16.81925011     0.84479816     1.47309661     0.98188384     0.56104883 
    0.40358294    73.18169392    16.84616532     0.84340909     1.46612117     0.97932193     0.55747226 
    0.40742903    73.87910609    16.87293028     0.84198732     1.45921831     0.97676049     0.55388516 
    0.41128093    74.57757022    16.89954570     0.84053452     1.45238420     0.97419925     0.55028791 
    0.41513839    75.27704387    16.92601231     0.83905237     1.44561487     0.97163750     0.54668082 
    0.41900118    75.97748453    16.95233088     0.83754251     1.43890630     0.96907434     0.54306411 
    0.42286908    76.67884964    16.97850228     0.83600659     1.43225446     0.96650874     0.53943794 
    0.42674183    77.38109657    17.00452754     0.83444619     1.42565549     0.96393969     0.53580246 
    0.43061922    78.08418265    17.03040782     0.83286282     1.41910583     0.96136626     0.53215785 
    0.43450099    78.78806516    17.05614438     0.83125792     1.41260241     0.95878759     0.52850437 
    0.43838693    79.49270131    17.08173850     0.82963283     1.40614275     0.95620282     0.52484242 
    0.44227678    80.19804829    17.10719139     0.82798880     1.39972500     0.95361107     0.52117254 
    0.44617032    80.90406323    17.13250408     0.82632700     1.39334802     0.95101143     0.51749541 
    0.45006730    81.61070324    17.15767732     0.82464853     1.38701129     0.94840297     0.51381182 
    0.45396749    82.31792535    17.18271153     0.82295441     1.38071482     0.94578479     0.51012262 
    0.45787066    83.02568661    17.20760678     0.82124563     1.37445906     0.94315612     0.50642865 
    0.46177656    83.73394400    17.23236277     0.81952314     1.36824467     0.94051634     0.50273073 
    0.46568496    84.44265447    17.25697887     0.81778783     1.36207237     0.93786499     0.49902958 
    0.46959563    85.15177497    17.28145422     0.81604060     1.35594278     0.93520181     0.49532577 
    0.47350831    85.86126239    17.30578781     0.81428232     1.34985630     0.93252669     0.49161977 
    0.47742279    86.57107362    17.32997853     0.81251383     1.34381310     0.92983971     0.48791189 
    0.48133881    87.28116553    17.35402530     0.81073596     1.33781317     0.92714114     0.48420237 
    0.48525614    87.99149496    17.37792709     0.80894951     1.33185640     0.92443143     0.48049138 
    0.48917454    88.70201876    17.40168295     0.80715527     1.32594266     0.92171125     0.47677904 
    0.49309377    89.41269373    17.42529203     0.80535403     1.32007184     0.91898139     0.47306550 
    0.49701360    90.12347669    17.44875358     0.80354657     1.31424390     0.91624269     0.46935088 
    0.50093379    90.83432445    17.47206693     0.80173369     1.30845881     0.91349603     0.46563534 
    0.50485410    91.54519381    17.49523152     0.79991620     1.30271653     0.91074230     0.46191902 
    0.50877429    92.25604157    17.51824683     0.79809495     1.29701693     0.90798249     0.45820210 
    0.51269412    92.96682453    17.54111243     0.79627080     1.29135981     0.90521768     0.45448481 
    0.51661335    93.67749950    17.56382788     0.79444464     1.28574489     0.90244903     0.45076742 
    0.52053176    94.38802329    17.58639275     0.79261737     1.28017186     0.89967774     0.44705026 
    0.52444909    95.09835273    17.60880653     0.79078991     1.27464039     0.89690491     0.44333373 
    0.52836511    95.80844464    17.63106861     0.78896316     1.26915016     0.89413146     0.43961829 
    0.53227958    96.51825587    17.65317827     0.78713800     1.26370089     0.89135807     0.43590439 
    0.53619226    97.22774329    17.67513463     0.78531531     1.25829230     0.88858525     0.43219254 
    0.54010293    97.93686378    17.69693670     0.78349593     1.25292408     0.88581332     0.42848320 
    0.54401133    98.64557426    17.71858336     0.78168064     1.24759589     0.88304252     0.42477680 
    0.54791723    99.35383165    17.74007342     0.77987022     1.24230727     0.88027309     0.42107375 
    0.55182040   100.06159290    17.76140563     0.77806535     1.23705770     0.87750533     0.41737440 
    0.55572059   100.76881502    17.78257869     0.77626669     1.23184649     0.87473967     0.41367911 
    0.55961758   101.47545502    17.80359130     0.77447484     1.22667289     0.87197669     0.40998816 
    0.56351111   102.18146997    17.82444217     0.77269034     1.22153601     0.86921712     0.40630184 
    0.56740096   102.88681695    17.84513001     0.77091369     1.21643490     0.86646175     0.40262039 
    0.57128690   103.59145310    17.86565362     0.76914534     1.21136856     0.86371135     0.39894399 
    0.57516867   104.29533560    17.88601183     0.76738573     1.20633594     0.86096656     0.39527282 
    0.57904606   104.99842168    17.90620362     0.76563525     1.20133600     0.85822782     0.39160697 
    0.58291881   105.70066862    17.92622807     0.76389430     1.19636768     0.85549531     0.38794652 
    0.58678671   106.40203373    17.94608443     0.76216326     1.19142991     0.85276895     0.38429152 
    0.59064950   107.10247439    17.96577211     0.76044250     1.18652166     0.85004842     0.38064199 
    0.59450697   107.80194804    17.98529070     0.75873239     1.18164191     0.84733320     0.37699795 
    0.59835886   108.50041217    18.00463995     0.75703330     1.17678976     0.84462271     0.37335941 
    0.60220495   109.19782434    18.02381980     0.75534557     1.17196444     0.84191641     0.36972637 
    0.60604501   109.89414216    18.04283035     0.75366956     1.16716534     0.83921388     0.36609889 
    0.60987880   110.58932332    18.06167184     0.75200556     1.16239212     0.83651491     0.36247701 
    0.61370609   111.28332558    18.08034463     0.75035386     1.15764459     0.83381955     0.35886082 
    0.61752665   111.97610675    18.09884919     0.74871472     1.15292272     0.83112809     0.35525045 
    0.62134023   112.66762474    18.11718603     0.74708837     1.14822661     0.82844105     0.35164605 
    0.62514663   113.35783753    18.13535573     0.74547501     1.14355636     0.82575922     0.34804783 
    0.62894559   114.04670317    18.15335884     0.74387482     1.13891210     0.82308358     0.34445604 
    0.63273689   114.73417980    18.17119589     0.74228796     1.13429392     0.82041533     0.34087099 
    0.63652030   115.42022564    18.18886735     0.74071458     1.12970189     0.81775579     0.33729303 
    0.64029559   116.10479900    18.20637355     0.73915479     1.12513604     0.81510642     0.33372257 
    0.64406253   116.78785828    18.22371471     0.73760870     1.12059636     0.81246871     0.33016006 
    0.64782089   117.46936197    18.24089088     0.73607638     1.11608286     0.80984417     0.32660598 
    0.65157044   118.14926865    18.25790192     0.73455791     1.11159551     0.80723423     0.32306084 
    0.65531096   118.82753702    18.27474749     0.73305335     1.10713425     0.80464026     0.31952517 
    0.65904222   119.50412584    18.29142705     0.73156272     1.10269899     0.80206353     0.31599951 
    0.66276399   120.17899400    18.30793986     0.73008608     1.09828953     0.79950516     0.31248437 
    0.66647604   120.85210050    18.32428501     0.72862345     1.09390560     0.79696611     0.30898028 
    0.67017815   121.52340442    18.34046140     0.72717488     1.08954683     0.79444719     0.30548769 
    0.67387010   122.19286498    18.35646782     0.72574041     1.08521281     0.79194901     0.30200703 
    0.67755165   122.86044148    18.37230295     0.72432009     1.08090309     0.78947198     0.29853870 
    0.68122260   123.52609336    18.38796538     0.72291399     1.07661732     0.78701637     0.29508302 
    0.68488270   124.18978018    18.40345371     0.72152219     1.07235519     0.78458223     0.29164030 
    0.68853175   124.85146159    18.41876649     0.72014475     1.06811655     0.78216949     0.28821076 
    0.69216951   125.51109738    18.43390235     0.71878178     1.06390133     0.77977794     0.28479460 
    0.69579577   126.16864748    18.44885994     0.71743337     1.05970958     0.77740725     0.28139199 
    0.69941031   126.82407192    18.46363801     0.71609961     1.05554146     0.77505702     0.27800304 
    0.70301291   127.47733087    18.47823541     0.71478060     1.05139717     0.77272680     0.27462789 
    0.70660335   128.12838464    18.49265107     0.71347644     1.04727698     0.77041617     0.27126661 
    0.71018140   128.77719365    18.50688405     0.71218723     1.04318120     0.76812480     0.26791930 
