 precomputing function requisites...
 loading state...
 
 Done reading fields
 Time spend reading:     0.090 sc
 initialising output files...
 /data/marcos/pipe10k/source/runs/re180dt.cf
 timestepping.....
  step=           0  dt=  9.9469237E-03
Step  291  0.800857D+04  0.271960D+01  0.180139D+03
Step  296  0.800861D+04  0.271993D+01  0.180144D+03
Step  301  0.800865D+04  0.272310D+01  0.180150D+03
Step  306  0.800868D+04  0.272332D+01  0.180156D+03
Step  311  0.800872D+04  0.272469D+01  0.180163D+03
Step  316  0.800876D+04  0.272449D+01  0.180169D+03
Step  321  0.800880D+04  0.272879D+01  0.180175D+03
Step  326  0.800883D+04  0.272301D+01  0.180181D+03
Step  331  0.800887D+04  0.272763D+01  0.180187D+03
Step  336  0.800890D+04  0.271780D+01  0.180193D+03
Step  341  0.800894D+04  0.271953D+01  0.180199D+03
Step  346  0.800898D+04  0.272561D+01  0.180205D+03
Step  351  0.800901D+04  0.272193D+01  0.180212D+03
Step  356  0.800905D+04  0.272256D+01  0.180218D+03
Step  361  0.800908D+04  0.272339D+01  0.180224D+03
Step  366  0.800912D+04  0.272592D+01  0.180231D+03
Step  371  0.800916D+04  0.272532D+01  0.180237D+03
Step  376  0.800919D+04  0.272995D+01  0.180244D+03
Step  381  0.800923D+04  0.272607D+01  0.180250D+03
Step  386  0.800926D+04  0.272355D+01  0.180257D+03
Step  391  0.800930D+04  0.272778D+01  0.180263D+03
Step  396  0.800934D+04  0.272265D+01  0.180270D+03
Step  401  0.800937D+04  0.272634D+01  0.180277D+03
Step  406  0.800941D+04  0.272332D+01  0.180283D+03
Step  411  0.800944D+04  0.272420D+01  0.180290D+03
Step  416  0.800948D+04  0.271835D+01  0.180297D+03
Step  421  0.800952D+04  0.272575D+01  0.180304D+03
Step  426  0.800955D+04  0.272759D+01  0.180310D+03
Step  431  0.800959D+04  0.272047D+01  0.180317D+03
Step  436  0.800962D+04  0.272255D+01  0.180324D+03
Step  441  0.800966D+04  0.272597D+01  0.180331D+03
Step  446  0.800970D+04  0.271705D+01  0.180338D+03
Step  451  0.800973D+04  0.272427D+01  0.180344D+03
Step  456  0.800977D+04  0.272131D+01  0.180351D+03
Step  461  0.800980D+04  0.272379D+01  0.180358D+03
Step  466  0.800984D+04  0.272305D+01  0.180365D+03
Step  471  0.800988D+04  0.272801D+01  0.180372D+03
Step  476  0.800991D+04  0.272301D+01  0.180379D+03
Step  481  0.800995D+04  0.272246D+01  0.180386D+03
Step  486  0.800999D+04  0.272956D+01  0.180393D+03
Step  491  0.801003D+04  0.272172D+01  0.180401D+03
Step  496  0.801007D+04  0.272650D+01  0.180408D+03
Step  501  0.801011D+04  0.272639D+01  0.180416D+03
Step  506  0.801015D+04  0.273428D+01  0.180423D+03
Step  511  0.801019D+04  0.271959D+01  0.180431D+03
Step  516  0.801023D+04  0.272355D+01  0.180439D+03
Step  521  0.801027D+04  0.272483D+01  0.180446D+03
Step  526  0.801031D+04  0.272754D+01  0.180454D+03
Step  531  0.801035D+04  0.272694D+01  0.180461D+03
Step  536  0.801039D+04  0.272258D+01  0.180469D+03
Step  541  0.801043D+04  0.272410D+01  0.180477D+03
Step  546  0.801047D+04  0.272147D+01  0.180484D+03
Step  551  0.801050D+04  0.272164D+01  0.180492D+03
Step  556  0.801054D+04  0.271433D+01  0.180500D+03
Step  561  0.801058D+04  0.271682D+01  0.180507D+03
Step  566  0.801062D+04  0.272139D+01  0.180515D+03
Step  571  0.801066D+04  0.271984D+01  0.180523D+03
Step  576  0.801070D+04  0.271880D+01  0.180531D+03
Step  581  0.801074D+04  0.272356D+01  0.180539D+03
Step  586  0.801079D+04  0.272432D+01  0.180547D+03
Step  591  0.801083D+04  0.272198D+01  0.180556D+03
Step  596  0.801088D+04  0.272531D+01  0.180565D+03
Step  601  0.801092D+04  0.272150D+01  0.180573D+03
Step  606  0.801097D+04  0.272578D+01  0.180581D+03
Step  611  0.801101D+04  0.271797D+01  0.180589D+03
Step  616  0.801105D+04  0.271604D+01  0.180597D+03
Step  621  0.801110D+04  0.271937D+01  0.180605D+03
Step  626  0.801114D+04  0.272165D+01  0.180613D+03
Step  631  0.801119D+04  0.271849D+01  0.180620D+03
Step  636  0.801123D+04  0.324062D+01  0.180627D+03
Step  641  0.801127D+04  0.271413D+01  0.180634D+03
Step  646  0.801131D+04  0.272006D+01  0.180640D+03
Step  651  0.801136D+04  0.272050D+01  0.180646D+03
Step  656  0.801140D+04  0.272347D+01  0.180651D+03
Step  661  0.801144D+04  0.272591D+01  0.180657D+03
Step  666  0.801148D+04  0.272344D+01  0.180662D+03
Step  671  0.801152D+04  0.271429D+01  0.180666D+03
Step  676  0.801156D+04  0.303311D+01  0.180671D+03
Step  681  0.801160D+04  0.271998D+01  0.180675D+03
Step  686  0.801164D+04  0.272259D+01  0.180678D+03
Step  691  0.801168D+04  0.272044D+01  0.180682D+03
Step  696  0.801172D+04  0.272305D+01  0.180685D+03
Step  701  0.801176D+04  0.272182D+01  0.180688D+03
Step  706  0.801180D+04  0.272680D+01  0.180690D+03
Step  711  0.801184D+04  0.272291D+01  0.180692D+03
Step  716  0.801188D+04  0.271995D+01  0.180694D+03
Step  721  0.801192D+04  0.272079D+01  0.180696D+03
Step  726  0.801196D+04  0.272078D+01  0.180697D+03
Step  731  0.801200D+04  0.272066D+01  0.180698D+03
Step  736  0.801204D+04  0.272826D+01  0.180699D+03
Step  741  0.801208D+04  0.272704D+01  0.180700D+03
Step  746  0.801212D+04  0.271704D+01  0.180700D+03
Step  751  0.801215D+04  0.271724D+01  0.180701D+03
Step  756  0.801219D+04  0.272535D+01  0.180701D+03
Step  761  0.801223D+04  0.271856D+01  0.180700D+03
Step  766  0.801227D+04  0.271665D+01  0.180700D+03
Step  771  0.801230D+04  0.272156D+01  0.180699D+03
Step  776  0.801234D+04  0.272327D+01  0.180699D+03
Step  781  0.801238D+04  0.271672D+01  0.180698D+03
Step  786  0.801242D+04  0.271437D+01  0.180697D+03
Step  791  0.801245D+04  0.272138D+01  0.180696D+03
Step  796  0.801249D+04  0.271867D+01  0.180695D+03
Step  801  0.801253D+04  0.272184D+01  0.180694D+03
Step  806  0.801256D+04  0.272543D+01  0.180692D+03
Step  811  0.801260D+04  0.271727D+01  0.180691D+03
Step  816  0.801263D+04  0.272482D+01  0.180689D+03
Step  821  0.801267D+04  0.272521D+01  0.180688D+03
Step  826  0.801271D+04  0.272024D+01  0.180686D+03
Step  831  0.801274D+04  0.272047D+01  0.180685D+03
Step  836  0.801278D+04  0.271645D+01  0.180683D+03
Step  841  0.801281D+04  0.271923D+01  0.180682D+03
Step  846  0.801285D+04  0.272534D+01  0.180680D+03
Step  851  0.801288D+04  0.271746D+01  0.180679D+03
Step  856  0.801292D+04  0.272268D+01  0.180677D+03
Step  861  0.801296D+04  0.272711D+01  0.180675D+03
Step  866  0.801299D+04  0.272322D+01  0.180674D+03
Step  871  0.801303D+04  0.272436D+01  0.180673D+03
Step  876  0.801306D+04  0.272181D+01  0.180671D+03
Step  881  0.801310D+04  0.272368D+01  0.180670D+03
Step  886  0.801313D+04  0.272456D+01  0.180668D+03
Step  891  0.801317D+04  0.272714D+01  0.180667D+03
Step  896  0.801321D+04  0.272778D+01  0.180666D+03
Step  901  0.801324D+04  0.272127D+01  0.180665D+03
Step  906  0.801328D+04  0.272634D+01  0.180664D+03
Step  911  0.801331D+04  0.272648D+01  0.180662D+03
Step  916  0.801335D+04  0.272470D+01  0.180661D+03
Step  921  0.801339D+04  0.272633D+01  0.180661D+03
Step  926  0.801342D+04  0.272264D+01  0.180660D+03
Step  931  0.801346D+04  0.272718D+01  0.180659D+03
Step  936  0.801349D+04  0.326001D+01  0.180658D+03
Step  941  0.801353D+04  0.303031D+01  0.180657D+03
Step  946  0.801356D+04  0.272076D+01  0.180657D+03
Step  951  0.801360D+04  0.272093D+01  0.180656D+03
Step  956  0.801363D+04  0.272087D+01  0.180656D+03
Step  961  0.801366D+04  0.328722D+01  0.180655D+03
Step  966  0.801370D+04  0.272767D+01  0.180655D+03
Step  971  0.801373D+04  0.272410D+01  0.180654D+03
Step  976  0.801377D+04  0.272506D+01  0.180654D+03
Step  981  0.801380D+04  0.272540D+01  0.180653D+03
Step  986  0.801383D+04  0.272533D+01  0.180653D+03
Step  991  0.801387D+04  0.272565D+01  0.180653D+03
Step  996  0.801390D+04  0.272070D+01  0.180653D+03
Step 1001  0.801394D+04  0.272776D+01  0.180652D+03
Step 1006  0.801397D+04  0.272598D+01  0.180652D+03
Step 1011  0.801400D+04  0.272242D+01  0.180652D+03
Step 1016  0.801404D+04  0.272311D+01  0.180652D+03
Step 1021  0.801407D+04  0.272563D+01  0.180652D+03
Step 1026  0.801410D+04  0.272561D+01  0.180652D+03
Step 1031  0.801414D+04  0.273009D+01  0.180652D+03
Step 1036  0.801417D+04  0.272236D+01  0.180652D+03
Step 1041  0.801421D+04  0.274638D+01  0.180652D+03
Step 1046  0.801424D+04  0.272424D+01  0.180653D+03
Step 1051  0.801427D+04  0.272388D+01  0.180653D+03
Step 1056  0.801431D+04  0.271905D+01  0.180653D+03
Step 1061  0.801434D+04  0.272148D+01  0.180653D+03
Step 1066  0.801438D+04  0.272382D+01  0.180654D+03
Step 1071  0.801441D+04  0.272326D+01  0.180654D+03
Step 1076  0.801444D+04  0.272475D+01  0.180654D+03
Step 1081  0.801448D+04  0.272664D+01  0.180655D+03
Step 1086  0.801451D+04  0.272405D+01  0.180655D+03
Step 1091  0.801455D+04  0.272468D+01  0.180656D+03
Step 1096  0.801458D+04  0.271905D+01  0.180657D+03
Step 1101  0.801461D+04  0.272100D+01  0.180657D+03
Step 1106  0.801465D+04  0.272709D+01  0.180658D+03
Step 1111  0.801468D+04  0.272074D+01  0.180659D+03
Step 1116  0.801472D+04  0.272484D+01  0.180660D+03
Step 1121  0.801475D+04  0.271677D+01  0.180661D+03
Step 1126  0.801478D+04  0.272354D+01  0.180662D+03
Step 1131  0.801482D+04  0.272508D+01  0.180663D+03
Step 1136  0.801485D+04  0.272580D+01  0.180664D+03
Step 1141  0.801489D+04  0.273093D+01  0.180665D+03
Step 1146  0.801492D+04  0.272517D+01  0.180667D+03
Step 1151  0.801495D+04  0.272195D+01  0.180668D+03
Step 1156  0.801499D+04  0.271615D+01  0.180669D+03
Step 1161  0.801502D+04  0.272492D+01  0.180671D+03
Step 1166  0.801506D+04  0.272612D+01  0.180672D+03
Step 1171  0.801509D+04  0.272229D+01  0.180674D+03
Step 1176  0.801512D+04  0.271874D+01  0.180675D+03
Step 1181  0.801516D+04  0.272014D+01  0.180677D+03
Step 1186  0.801519D+04  0.272348D+01  0.180678D+03
Step 1191  0.801522D+04  0.272626D+01  0.180680D+03
Step 1196  0.801526D+04  0.272467D+01  0.180682D+03
Step 1201  0.801529D+04  0.272860D+01  0.180683D+03
Step 1206  0.801533D+04  0.272720D+01  0.180685D+03
Step 1211  0.801536D+04  0.272404D+01  0.180687D+03
Step 1216  0.801539D+04  0.272634D+01  0.180689D+03
Step 1221  0.801543D+04  0.272284D+01  0.180691D+03
Step 1226  0.801546D+04  0.271956D+01  0.180693D+03
Step 1231  0.801550D+04  0.272191D+01  0.180695D+03
Step 1236  0.801553D+04  0.272900D+01  0.180697D+03
Step 1241  0.801557D+04  0.272653D+01  0.180699D+03
Step 1246  0.801561D+04  0.272011D+01  0.180702D+03
Step 1251  0.801565D+04  0.272362D+01  0.180704D+03
Step 1256  0.801568D+04  0.272157D+01  0.180707D+03
Step 1261  0.801572D+04  0.272530D+01  0.180709D+03
Step 1266  0.801576D+04  0.272605D+01  0.180712D+03
Step 1271  0.801580D+04  0.272345D+01  0.180715D+03
Step 1276  0.801583D+04  0.271868D+01  0.180718D+03
Step 1281  0.801587D+04  0.272617D+01  0.180721D+03
Step 1286  0.801591D+04  0.272548D+01  0.180724D+03
Step 1291  0.801595D+04  0.272511D+01  0.180727D+03
Step 1296  0.801598D+04  0.272056D+01  0.180730D+03
Step 1301  0.801602D+04  0.272121D+01  0.180734D+03
Step 1306  0.801606D+04  0.272624D+01  0.180737D+03
Step 1311  0.801610D+04  0.272921D+01  0.180741D+03
Step 1316  0.801613D+04  0.272854D+01  0.180745D+03
Step 1321  0.801617D+04  0.272175D+01  0.180749D+03
Step 1326  0.801621D+04  0.272737D+01  0.180753D+03
Step 1331  0.801625D+04  0.272249D+01  0.180757D+03
Step 1336  0.801629D+04  0.272710D+01  0.180762D+03
Step 1341  0.801633D+04  0.272744D+01  0.180768D+03
Step 1346  0.801637D+04  0.272455D+01  0.180773D+03
Step 1351  0.801641D+04  0.272590D+01  0.180779D+03
Step 1356  0.801645D+04  0.272526D+01  0.180784D+03
Step 1361  0.801649D+04  0.272270D+01  0.180790D+03
Step 1366  0.801654D+04  0.272598D+01  0.180796D+03
Step 1371  0.801658D+04  0.272622D+01  0.180803D+03
Step 1376  0.801662D+04  0.272471D+01  0.180809D+03
Step 1381  0.801666D+04  0.272347D+01  0.180816D+03
Step 1386  0.801670D+04  0.272139D+01  0.180823D+03
Step 1391  0.801674D+04  0.272618D+01  0.180830D+03
Step 1396  0.801679D+04  0.272058D+01  0.180837D+03
Step 1401  0.801683D+04  0.272160D+01  0.180844D+03
Step 1406  0.801687D+04  0.272403D+01  0.180852D+03
Step 1411  0.801691D+04  0.272025D+01  0.180860D+03
Step 1416  0.801695D+04  0.272344D+01  0.180867D+03
Step 1421  0.801699D+04  0.272393D+01  0.180875D+03
Step 1426  0.801704D+04  0.272244D+01  0.180883D+03
Step 1431  0.801708D+04  0.272647D+01  0.180891D+03
Step 1436  0.801712D+04  0.272797D+01  0.180900D+03
Step 1441  0.801717D+04  0.272045D+01  0.180910D+03
Step 1446  0.801722D+04  0.271909D+01  0.180919D+03
Step 1451  0.801726D+04  0.272630D+01  0.180929D+03
Step 1456  0.801731D+04  0.272704D+01  0.180938D+03
Step 1461  0.801735D+04  0.272984D+01  0.180948D+03
Step 1466  0.801740D+04  0.287158D+01  0.180958D+03
Step 1471  0.801745D+04  0.272367D+01  0.180968D+03
Step 1476  0.801749D+04  0.272717D+01  0.180978D+03
Step 1481  0.801754D+04  0.272556D+01  0.180989D+03
Step 1486  0.801759D+04  0.272499D+01  0.180999D+03
Step 1491  0.801763D+04  0.272351D+01  0.181010D+03
Step 1496  0.801768D+04  0.272568D+01  0.181020D+03
Step 1501  0.801772D+04  0.271955D+01  0.181031D+03
Step 1506  0.801777D+04  0.272023D+01  0.181042D+03
Step 1511  0.801782D+04  0.272412D+01  0.181053D+03
Step 1516  0.801786D+04  0.272045D+01  0.181064D+03
Step 1521  0.801791D+04  0.272687D+01  0.181075D+03
Step 1526  0.801796D+04  0.272631D+01  0.181086D+03
Step 1531  0.801800D+04  0.272197D+01  0.181098D+03
Step 1536  0.801805D+04  0.272773D+01  0.181110D+03
Step 1541  0.801809D+04  0.272435D+01  0.181121D+03
Step 1546  0.801814D+04  0.272269D+01  0.181133D+03
Step 1551  0.801819D+04  0.272092D+01  0.181145D+03
Step 1556  0.801823D+04  0.272423D+01  0.181158D+03
Step 1561  0.801828D+04  0.272695D+01  0.181170D+03
Step 1566  0.801832D+04  0.272341D+01  0.181183D+03
Step 1571  0.801837D+04  0.272502D+01  0.181196D+03
Step 1576  0.801842D+04  0.272109D+01  0.181209D+03
Step 1581  0.801846D+04  0.272824D+01  0.181222D+03
Step 1586  0.801851D+04  0.272794D+01  0.181235D+03
Step 1591  0.801856D+04  0.272384D+01  0.181250D+03
Step 1596  0.801861D+04  0.272344D+01  0.181265D+03
Step 1601  0.801866D+04  0.272141D+01  0.181280D+03
Step 1606  0.801871D+04  0.272314D+01  0.181295D+03
Step 1611  0.801876D+04  0.271890D+01  0.181310D+03
Step 1616  0.801882D+04  0.272528D+01  0.181325D+03
Step 1621  0.801887D+04  0.272550D+01  0.181340D+03
Step 1626  0.801892D+04  0.272399D+01  0.181355D+03
Step 1631  0.801897D+04  0.272345D+01  0.181370D+03
Step 1636  0.801902D+04  0.272862D+01  0.181385D+03
Step 1641  0.801907D+04  0.272515D+01  0.181400D+03
Step 1646  0.801912D+04  0.272524D+01  0.181414D+03
Step 1651  0.801917D+04  0.272377D+01  0.181428D+03
Step 1656  0.801922D+04  0.272819D+01  0.181442D+03
Step 1661  0.801927D+04  0.272546D+01  0.181456D+03
Step 1666  0.801932D+04  0.272471D+01  0.181470D+03
Step 1671  0.801937D+04  0.272208D+01  0.181483D+03
Step 1676  0.801943D+04  0.272027D+01  0.181496D+03
Step 1681  0.801948D+04  0.272915D+01  0.181508D+03
Step 1686  0.801953D+04  0.272537D+01  0.181520D+03
Step 1691  0.801958D+04  0.272010D+01  0.181532D+03
Step 1696  0.801963D+04  0.272422D+01  0.181544D+03
Step 1701  0.801968D+04  0.272259D+01  0.181555D+03
Step 1706  0.801973D+04  0.272076D+01  0.181566D+03
Step 1711  0.801978D+04  0.272201D+01  0.181577D+03
Step 1716  0.801983D+04  0.272223D+01  0.181587D+03
Step 1721  0.801988D+04  0.272231D+01  0.181597D+03
Step 1726  0.801993D+04  0.271819D+01  0.181607D+03
Step 1731  0.801999D+04  0.272619D+01  0.181616D+03
Step 1736  0.802004D+04  0.272604D+01  0.181625D+03
Step 1741  0.802009D+04  0.272412D+01  0.181634D+03
Step 1746  0.802014D+04  0.272719D+01  0.181643D+03
Step 1751  0.802019D+04  0.272896D+01  0.181651D+03
Step 1756  0.802024D+04  0.272513D+01  0.181659D+03
Step 1761  0.802029D+04  0.271976D+01  0.181667D+03
Step 1766  0.802034D+04  0.272364D+01  0.181675D+03
Step 1771  0.802039D+04  0.272330D+01  0.181683D+03
Step 1776  0.802044D+04  0.272414D+01  0.181690D+03
Step 1781  0.802049D+04  0.272329D+01  0.181698D+03
Step 1786  0.802055D+04  0.271894D+01  0.181705D+03
Step 1791  0.802060D+04  0.272833D+01  0.181712D+03
Step 1796  0.802065D+04  0.272504D+01  0.181719D+03
Step 1801  0.802070D+04  0.272091D+01  0.181726D+03
Step 1806  0.802075D+04  0.272676D+01  0.181733D+03
Step 1811  0.802080D+04  0.272019D+01  0.181740D+03
Step 1816  0.802085D+04  0.273065D+01  0.181747D+03
Step 1821  0.802090D+04  0.272383D+01  0.181753D+03
Step 1826  0.802095D+04  0.272263D+01  0.181760D+03
Step 1831  0.802100D+04  0.272398D+01  0.181767D+03
Step 1836  0.802105D+04  0.272135D+01  0.181773D+03
Step 1841  0.802110D+04  0.271041D+01  0.181780D+03
Step 1846  0.802116D+04  0.271985D+01  0.181786D+03
Step 1851  0.802121D+04  0.272794D+01  0.181792D+03
Step 1856  0.802126D+04  0.272557D+01  0.181798D+03
Step 1861  0.802131D+04  0.271905D+01  0.181804D+03
Step 1866  0.802136D+04  0.272063D+01  0.181809D+03
Step 1871  0.802141D+04  0.272065D+01  0.181815D+03
Step 1876  0.802146D+04  0.272294D+01  0.181820D+03
Step 1881  0.802151D+04  0.271755D+01  0.181824D+03
Step 1886  0.802156D+04  0.271845D+01  0.181829D+03
Step 1891  0.802161D+04  0.272094D+01  0.181833D+03
Step 1896  0.802166D+04  0.271547D+01  0.181837D+03
Step 1901  0.802172D+04  0.272231D+01  0.181840D+03
Step 1906  0.802177D+04  0.272426D+01  0.181844D+03
Step 1911  0.802182D+04  0.272609D+01  0.181846D+03
Step 1916  0.802187D+04  0.272319D+01  0.181849D+03
Step 1921  0.802192D+04  0.271971D+01  0.181851D+03
Step 1926  0.802197D+04  0.272811D+01  0.181852D+03
Step 1931  0.802202D+04  0.272195D+01  0.181854D+03
Step 1936  0.802207D+04  0.272141D+01  0.181855D+03
Step 1941  0.802212D+04  0.272290D+01  0.181855D+03
Step 1946  0.802217D+04  0.272233D+01  0.181855D+03
Step 1951  0.802222D+04  0.271781D+01  0.181855D+03
Step 1956  0.802226D+04  0.271940D+01  0.181855D+03
Step 1961  0.802231D+04  0.272397D+01  0.181854D+03
Step 1966  0.802236D+04  0.272242D+01  0.181853D+03
Step 1971  0.802241D+04  0.272272D+01  0.181852D+03
Step 1976  0.802246D+04  0.272395D+01  0.181851D+03
Step 1981  0.802251D+04  0.272412D+01  0.181849D+03
Step 1986  0.802255D+04  0.271629D+01  0.181847D+03
Step 1991  0.802260D+04  0.271927D+01  0.181845D+03
Step 1996  0.802265D+04  0.272182D+01  0.181843D+03
Step 2001  0.802270D+04  0.272698D+01  0.181840D+03
Step 2006  0.802275D+04  0.272098D+01  0.181838D+03
Step 2011  0.802279D+04  0.272549D+01  0.181835D+03
Step 2016  0.802284D+04  0.272211D+01  0.181831D+03
Step 2021  0.802289D+04  0.271601D+01  0.181828D+03
Step 2026  0.802294D+04  0.272345D+01  0.181825D+03
Step 2031  0.802299D+04  0.271804D+01  0.181821D+03
Step 2036  0.802304D+04  0.271473D+01  0.181817D+03
Step 2041  0.802308D+04  0.272469D+01  0.181813D+03
Step 2046  0.802313D+04  0.272089D+01  0.181809D+03
Step 2051  0.802318D+04  0.272426D+01  0.181805D+03
Step 2056  0.802323D+04  0.271394D+01  0.181801D+03
Step 2061  0.802328D+04  0.272117D+01  0.181797D+03
Step 2066  0.802333D+04  0.272340D+01  0.181793D+03
Step 2071  0.802337D+04  0.272315D+01  0.181789D+03
Step 2076  0.802342D+04  0.272046D+01  0.181786D+03
Step 2081  0.802347D+04  0.272244D+01  0.181782D+03
Step 2086  0.802352D+04  0.272546D+01  0.181778D+03
Step 2091  0.802357D+04  0.272336D+01  0.181775D+03
Step 2096  0.802362D+04  0.272416D+01  0.181771D+03
Step 2101  0.802366D+04  0.272434D+01  0.181768D+03
Step 2106  0.802371D+04  0.271916D+01  0.181765D+03
Step 2111  0.802376D+04  0.272362D+01  0.181763D+03
Step 2116  0.802381D+04  0.272213D+01  0.181760D+03
Step 2121  0.802386D+04  0.272095D+01  0.181758D+03
Step 2126  0.802391D+04  0.272214D+01  0.181756D+03
Step 2131  0.802395D+04  0.272141D+01  0.181755D+03
Step 2136  0.802400D+04  0.272222D+01  0.181754D+03
Step 2141  0.802404D+04  0.272487D+01  0.181753D+03
Step 2146  0.802409D+04  0.272692D+01  0.181752D+03
Step 2151  0.802414D+04  0.272191D+01  0.181752D+03
Step 2156  0.802418D+04  0.274705D+01  0.181752D+03
Step 2161  0.802423D+04  0.272096D+01  0.181752D+03
Step 2166  0.802427D+04  0.272318D+01  0.181753D+03
Step 2171  0.802432D+04  0.272252D+01  0.181754D+03
Step 2176  0.802437D+04  0.272416D+01  0.181755D+03
Step 2181  0.802441D+04  0.271370D+01  0.181757D+03
Step 2186  0.802446D+04  0.272404D+01  0.181758D+03
Step 2191  0.802450D+04  0.272200D+01  0.181760D+03
Step 2196  0.802455D+04  0.272421D+01  0.181763D+03
Step 2201  0.802459D+04  0.272162D+01  0.181765D+03
Step 2206  0.802464D+04  0.271953D+01  0.181768D+03
Step 2211  0.802469D+04  0.272410D+01  0.181770D+03
Step 2216  0.802473D+04  0.272131D+01  0.181773D+03
Step 2221  0.802478D+04  0.271990D+01  0.181776D+03
Step 2226  0.802482D+04  0.272297D+01  0.181779D+03
Step 2231  0.802487D+04  0.272412D+01  0.181782D+03
Step 2236  0.802492D+04  0.272353D+01  0.181785D+03
Step 2241  0.802496D+04  0.272449D+01  0.181788D+03
Step 2246  0.802501D+04  0.272833D+01  0.181791D+03
Step 2251  0.802505D+04  0.271975D+01  0.181794D+03
Step 2256  0.802510D+04  0.272132D+01  0.181797D+03
Step 2261  0.802514D+04  0.272531D+01  0.181800D+03
Step 2266  0.802519D+04  0.272146D+01  0.181803D+03
Step 2271  0.802524D+04  0.271943D+01  0.181805D+03
Step 2276  0.802528D+04  0.272160D+01  0.181807D+03
Step 2281  0.802533D+04  0.272374D+01  0.181810D+03
Step 2286  0.802537D+04  0.271824D+01  0.181812D+03
Step 2291  0.802542D+04  0.272370D+01  0.181813D+03
Step 2296  0.802547D+04  0.272434D+01  0.181815D+03
Step 2301  0.802551D+04  0.272470D+01  0.181817D+03
Step 2306  0.802556D+04  0.272613D+01  0.181818D+03
Step 2311  0.802560D+04  0.272249D+01  0.181820D+03
Step 2316  0.802565D+04  0.271683D+01  0.181821D+03
Step 2321  0.802570D+04  0.272047D+01  0.181822D+03
Step 2326  0.802574D+04  0.272042D+01  0.181823D+03
